trial,winner_n,winner_eps,winner_members
169,20,0.4000,A12 A14 A22 A23 A24 D09 D16 D18 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
170,5,0.1176,A23 D24 P31 S29 X16
171,5,0.1429,A23 D24 P31 S29 X16
172,13,0.4571,A22 A23 D16 D23 D24 E18 E19 P31 S28 S29 X14 X15 X16
173,5,0.2500,A23 D24 P31 S29 X16
174,15,0.4545,A12 A22 A24 D09 D18 D23 E18 E19 P16 S16 S28 S30 X14 X15 X17
175,17,0.6296,A05 A07 A15 A18 A26 D04 D14 D15 D26 P05 P32 S08 S13 S20 S21 S26 X10
176,5,0.2143,A23 D24 P31 S29 X16
177,23,0.5000,A05 A07 A15 A16 A18 A26 A27 D04 D14 D15 D26 E14 E20 P05 P32 S07 S08 S20 S21 S26 S32 S33 X10
178,5,0.1176,A23 D24 P31 S29 X16
179,5,0.1875,A23 D24 P31 S29 X16
180,5,0.2353,A23 D24 P31 S29 X16
181,5,0.1667,A23 D24 P31 S29 X16
182,19,0.3934,A12 A22 A23 A24 D16 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X14 X15 X16 X17
183,24,0.3140,A09 A10 A21 D01 D02 D05 D06 D07 D09 D16 D17 D18 D19 D21 E18 E19 P07 P08 P09 P10 P25 P26 S23 X14
184,5,0.2941,A23 D24 P31 S29 X16
185,23,0.3768,A12 A14 A22 A23 A24 D09 D16 D18 D23 D24 E18 E19 P16 P31 S16 S28 S29 S30 X12 X14 X15 X16 X17
186,9,0.4138,A12 A24 D09 D18 E19 P16 S30 X14 X17
187,19,0.3276,A12 A22 A23 A24 D09 D18 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
188,26,0.3571,A09 A10 A21 D01 D02 D05 D06 D07 D08 D16 D17 D19 D20 D21 P07 P08 P09 P10 P11 P12 P13 P24 P25 P26 S23 X07
189,18,0.3333,A12 A14 A22 A23 A24 D16 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
190,5,0.2308,A23 D24 P31 S29 X16
191,19,0.4464,A12 A22 A23 A24 D09 D18 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
192,26,0.3250,A09 A10 A11 A21 A28 D01 D05 D07 D08 D09 D18 D19 D20 P07 P08 P09 P10 P11 P12 P13 P15 P24 P25 P33 S34 X07
193,5,0.1538,A23 D24 P31 S29 X16
194,5,0.1333,A23 D24 P31 S29 X16
195,18,0.3448,A12 A22 A23 A24 D16 D23 D24 E18 E19 P16 P31 S28 S29 S30 X14 X15 X16 X17
196,21,0.4355,A09 A10 A11 D01 D05 D07 D08 D18 D19 D20 P07 P08 P09 P10 P11 P12 P13 P15 P24 P25 X07
197,12,0.4103,A12 A22 A24 D09 D18 E19 P16 S28 S30 X14 X15 X17
198,5,0.1429,A23 D24 P31 S29 X16
199,15,0.5283,A12 A22 A24 D09 D16 D18 E18 E19 P16 S28 S30 X12 X14 X15 X17
